CharName,word
Sir Pierce of Exton,178
Lord Ross,177
Frenchman,177
Thomas Horner,175
Salerio,174
Archidamus,174
First Carrier,174
Third Servant,172
Curtis,171
Bagot,169
Citizens,169
Bates,168
Canidius,164
Alice,164
Prince Thomas,161
Volsce,160
Second Goth,159
Snout,159
Priest,158
Gregory,157
Francis,157
Iras,156
Walter Whitmore,155
Dercetas,155
Jupiter,154
Ceres,154
Second Page,153
First Outlaw,152
Voltemand,152
Aemilius,152
Third Fisherman,152
Marquis of Dorset,152
John Holland,151
Servilius,151
Mamillius,150
Audrey,149
Chamberlain,149
First Player,149
Second Commoner,146
First Keeper,146
Artemidorus,145
Peto,142
Mopsa,142
Abhorson,141
Leonine,141
Cleomenes,140
Second Carrier,139
Clerk,139
Old Man,139
Duke of Bourbon,139
Priam,138
Philo,138
Master-Gunner,138
Angus,137
Caphis,135
Francisco,135
Grandpre,135
Publius,132
First Ambassador,131
Cinna,131
Third Witch,129
Smith the Weaver,128
Jaques (son),128
Amiens,128
Hymen,126
Second Witch,125
Duke of Florence,124
Second Keeper,123
Pindarus,123
Metellus Cimber,122
Snug,122
Lady Faulconbridge,120
Mardian,118
Scrivener,117
George Bevis,117
Tailor,116
Barnardine,115
Lord Abergavenny,114
First Merchant,114
Third Lord,114
Andromache,113
First Guard,113
Prince Humphrey,113
Travers,112
Sir Humphrey Stafford,112
Ligarius,111
Lieutenant,108
Watchman,107
Peter Bullcalf,107
Earl of Cambridge,107
Sexton,106
Euphronius,106
Knight,105
Hortensius,105
Cinna the Poet,104
Pinch,103
Lord Willoughby,102
Robin,101
Jaquenetta,100
Second Outlaw,100
English Herald,100
Third Watchman,100
Tubal,98
Friar John,98
French Soldier,98
Jamy,98
Lord Grey,96
Second Clown,96
Starveling,93
First Musician,93
Sheriff,92
Both,91
Titus,91
Francis Feeble,90
Groom,90
First Bandit,89
Ralph Mouldy,88
Sir Thomas Grey,88
Lord Scroop,88
Thomas Rotherham,88
French Herald,87
Brandon,86
Lady,86
Norwegian Captain,85
Vaux,84
Second Soldier,84
Third Conspirator,81
Second British Captain,80
Mariner,79
Menelaus,79
Aedile,79
Curan,79
First Goth,79
Keeper,77
Fourth Messenger,76
Francisca,76
Gaoler,75
Philotus,75
Duke of Surrey,75
First Huntsman,74
Lychorida,74
Sir Henry Guildford,74
Third Serving-Man,74
Servant 1,74
Cardinal Bourchier,74
Caithness,73
Bona,73
First Beadle,73
Abbot,72
First Sailor,71
Menteith,71
Princes,71
Clitus,70
Lord Berkeley,69
Luce,69
Reynaldo,68
Silius,67
Adrian,67
Dorcas,66
Roman Captain,66
First Lady,66
Rambures,66
Second Brother,65
Sailor,65
Capucius,65
Harcourt,64
Lord Scales,64
First Petitioner,63
Cicero,63
Sir John Colville,62
Merchant,62
Trebonius,61
Spirit,61
First Brother,61
Doctor Butts,60
Sir John Stanley,60
Mother,60
Donalbain,59
Strato,59
Tyrian Sailor,59
Christopher Urswick,58
Second Drawer,58
Froth,57
First Conspirator,57
Governor of Harfleur,56
Sir John Fastolfe,55
Simpcox's Wife,54
Jeweller,54
Young Cato,54
Apothecary,53
Lord Bigot,53
Fang,53
Sir Michael,53
Sir Thomas Erpingham,52
Rugby,52
Third Soldier,52
Bishop Lincoln,51
Gallus,50
Third Messenger,49
Cupid,49
Second Herald,48
First Serving-Man,48
First Herald,48
John Morton,47
Second Stranger,47
Lords,46
William Stafford,46
William,45
Crier,44
Young Siward,43
Mayor of York,43
Third Bandit,42
Third Murderer,42
Juno,41
Mutius,41
Curio,41
Attendant,40
Ambassador,40
Servant 3,39
First Page,39
Second Petitioner,39
Second Conspirator,38
First Sentinel,38
Woodvile,38
Lady Northumberland,38
Girl,38
Second Sailor,38
Menecrates,38
Helenus,37
William Page,37
Sir Oliver Martext,37
Sentinels,37
Egyptian,37
Third Senator,36
Friar Thomas,35
Varro,35
Servant 2,35
Second Musician,35
Forester,35
Patience,35
Serving-Men,35
Second Bandit,33
Vintner,33
Third Apparition,32
Seyton,32
Player,32
Lawyer,31
Phrynia,31
Scout,31
First British Captain,30
Second Huntsman,29
First Knight,29
All Servants,29
Mercade,28
Townsman,28
Lady Montague,28
Varrius,27
Margaret Jourdain,27
Third Drawer,27
Sir Thomas Vaughan,27
Fourth Soldier,27
Children,26
Seleucus,26
Hostess,26
Master,25
Essex,24
Tutor of Rutland,24
Abraham,24
First Warder,24
Sir Nicholas Vaux,24
Fourth Lord,24
Second Apparition,23
Nathaniel,22
Second Lady,22
All The People,22
Commons,22
Sir Anthony Denny,21
Guard,21
Garter,21
First Neighbour,21
All Conspirators,21
Lord Lovel,20
Pursuivant,20
Michael,20
Citizen,20
Knights,19
Fourth Gentleman,19
First Executioner,19
First Traveller,19
Tribunes,19
Seventh Citizen,18
Huntsman,18
Sir Thomas Gargrave,18
Clerk of Chatham,18
Scribe,18
Dennis,17
Second Capulet,17
Volumnius,17
Banditti,17
Young Coriolanus,17
First Attendant,16
Daughter of Antiochus,16
Nobleman,16
First Tribune,15
Third Neighbour,15
Timandra,15
All Lords,15
Third Goth,15
Fleance,15
Second Guard,15
Dardanius,15
Mayor of Saint Alban's,15
Patrician,14
Snare,14
Duke of York,14
Margarelon,14
Fifth Citizen,14
Third Groom,13
Travellers,13
Both Tribunes,13
First Apparition,13
Sixth Citizen,12
Beadle,12
Watch,12
Second Serving-Man,12
Court,11
Another,11
Sheriff of Wiltshire,11
Leonardo,11
All the Goths,10
Popilius,10
